HYBRIDIZATION R	TCGA-AA-3841-01	TCGA-AA-3866-01	TCGA-AA-3870-01	TCGA-AA-3939-01	TCGA-AA-3941-01	TCGA-AA-3968-01	TCGA-AA-3970-01	TCGA-AA-3977-01	TCGA-AA-3979-01	TCGA-AA-3980-01
ACSM2A|123876	0	2	12	0	1	0	1	3	3	0
ACSM2B|348158	0	1	3	1	0	0	1	2	0	0
ACSM3|6296	84	892	241	476	174	134	470	613	145	508
ACSM4|341392	1	0	0	1	0	2	0	0	0	1
ACSM5|54988	4	9	9	3	1	1	4	0	0	2
ACSS1|84532	1459	1922	2019	508	889	1863	563	254	1445	1189
ACSS2|55902	3184	3596	1465	2073	3997	3196	2742	994	4486	5002
ACSS3|79611	11	25	39	16	17	34	12	12	11	16
ACTA1|58	19	7	106	9	9	3	3	5	5	3
ACTA2|59	2493	5445	8499	2794	1601	4631	2240	816	786	2163
ACTBL2|345651	3	0	9	0	1	0	0	1	0	0
ACTB|60	213461	151911	388894	141350	154258	109905	69539	70029	95072	114372
ACTC1|70	3	40	217	17	12	5	5	2	2	3
ACTG1|71	73641	85865	184802	100457	50671	95576	57040	56089	110171	119546
ACTG2|72	764	8415	6150	901	789	1241	524	174	183	619
ACTL6A|86	539	3679	1541	1940	1864	1729	1788	1422	5498	2230
ACTL6B|51412	0	0	1	0	3	0	0	0	0	0
ACTL7A|10881	1	0	0	0	0	0	0	0	0	0
ACTL7B|10880	0	1	0	0	0	0	0	0	0	0
ACTL8|81569	74	21	3	23	2	26	5	531	23	6
ACTL9|284382	0	0	0	0	0	0	0	0	0	0
ACTN1|87	3469	8484	9973	3023	9240	4421	3898	2230	3622	4266
ACTN2|88	1	3	18	0	4	1	0	0	0	1
ACTN3|89	0	0	1	5	0	2	0	0	0	0
ACTN4|81	22789	13460	20817	10953	14747	16165	13275	5968	12188	4671
ACTR10|55860	83	982	818	1157	1944	925	1223	616	1334	1664
ACTR1A|10121	1068	2384	3113	1877	1999	2121	1723	1255	2775	1524
ACTR1B|10120	2076	1925	2495	1349	1517	1050	1267	665	1619	1857
ACTR2|10097	699	10405	4190	6280	6525	8510	7058	4911	8318	10268
ACTR3B|57180	202	333	210	211	163	329	106	159	266	440
ACTR3C|653857	51	56	39	58	82	89	64	20	91	91
ACTR3|10096	2285	8020	5042	6826	6567	6704	5652	3832	7151	5843
