"";"TCGA.OR.A5JZ";"TCGA.OR.A5L5";"TCGA.OR.A5JF";"TCGA.OR.A5LO";"TCGA.OR.A5KT";"TCGA.OR.A5L4";"TCGA.OR.A5KU";"TCGA.PK.A5H9";"TCGA.OR.A5JS";"TCGA.OR.A5LR";"TCGA.OR.A5LC";"TCGA.OR.A5JA";"TCGA.OR.A5JT";"TCGA.OR.A5J8";"TCGA.PA.A5YG";"TCGA.OR.A5LP";"TCGA.OR.A5LJ";"TCGA.OR.A5JL";"TCGA.OR.A5K4";"TCGA.OU.A5PI";"TCGA.OR.A5JJ";"TCGA.P6.A5OF";"TCGA.OR.A5K8";"TCGA.OR.A5L8"
"ACAN";6,22639910432985;7,17975641116237;6,18635959169773;12,9707398097455;6,06150981791728;5,06249153186232;5,49615553891424;5,8249257782185;9,62373816838872;7,54811713450671;9,1714876693507;9,43709197274602;8,82254826242474;5,48637146419367;5,65615251443932;7,81469864309129;8,40671327403875;8,66311181396868;6,20331658711957;5,59830443344501;10,2473748127941;6,56923777501418;5,08077982984778;11,2145664632427
"ACAP1";7,8662894484372;8,27853934482431;5,87207775051365;5,63942636796707;8,12656105161343;5,94983144601192;5,89932733765169;6,42504926271884;6,90280949086967;7,58330905262144;5,89284816624883;5,65663786239017;7,26747224829368;8,44155003413445;8,26317263757684;7,34046455319387;6,7645380497253;5,70153335437737;7,83629760551378;5,67662783671654;6,26333028887754;5,73262562074201;6,03623832403055;5,38362031306262
"ACAT2";8,90500077936442;10,6355034002074;10,4919178750565;12,0377406994998;13,9855104119369;14,2642044862304;10,2692976502106;8,97924225101298;13,5782394484926;9,79766571220238;12,0183760720201;13,1814537255015;9,13946745301345;8,6079759414257;8,57042239749733;8,60326271765169;10,9356615082352;14,5368593652708;11,1462791554885;13,1293303530902;11,2997273331017;11,0685392909906;11,3904924307924;8,70768779949298
"ACBD4";9,78652972350471;9,57189757868007;8,62048726417752;9,25428791098094;8,51032874651085;8,32967457251864;8,92815099720071;9,56977886989135;9,25244606902279;9,21810362360909;9,79528783012633;8,40475519584105;9,44792464079871;8,12923461375483;9,45959842554942;9,04764775102755;9,11797079566484;8,54630037834729;9,03322105439605;8,8153799887165;8,67977251660461;9,45022794764641;8,89228838029435;9,47433998851976
"ACBD6";9,19603441189588;9,4332751975383;9,4132051874458;9,63621197185433;9,7371397441655;9,80361818130054;9,20268387372619;9,29915900748006;10,0384723967039;8,83220915009122;10,6722439229967;9,63324562684401;8,96145489023568;9,72972114311296;9,61650408707123;9,15915079799527;10,0686773835572;9,36576348421841;9,16376268249142;9,79696360992891;9,47628797563758;9,51154971193799;10,0674759997483;10,2271719808164
"ACBD7";6,38160323755458;6,35004192482416;6,171027998473;8,84637368053398;6,0149694421774;7,05078075430896;6,74080698391035;5,47229003282296;6,34941872275279;7,47495412501612;7,5053736575763;7,49553738162537;6,51717624088911;6,68112040471234;5,62525219318894;5,57004035884572;7,21934154664783;6,81029027084674;8,68998265622993;7,19883481663747;7,1211058730855;6,26071119476904;8,27128942422158;6,04322255460722
"ACLY";11,6386334439482;11,3547645067653;11,6123940164809;11,5324294802452;13,14822855701;14,0021295952126;11,742318232469;13,0713514552157;12,6926942843893;11,7337406340339;12,7950481757758;12,3548886969679;11,5189830419291;12,0459739989217;11,1773676808466;11,6878424949056;12,0460550291623;12,7064228017773;11,5563052846898;13,2920143749042;11,4532072468068;12,3426229526017;10,648684319789;11,528496570131
"ACO2";13,2035104359549;13,2103984526691;12,5050572622929;12,6342997402326;13,3070959738825;13,3348527176472;11,9254122124243;13,5673033681501;13,3119894655856;13,5526520125981;12,25605920109;12,4402311948074;14,3513757423411;12,1274510435675;13,7436854326579;14,0588595265215;12,3133196867797;13,1569818079748;14,0021660770057;12,50092967606;12,9220298681198;12,0972108932661;12,1777236641589;12,6137654966864
"ACOT11";9,79702188132289;9,38794362191002;9,92031945469547;6,20773112575691;9,00625922926556;10,8418215658316;6,05286091358761;12,6620341029438;7,83425946625687;8,49160237589385;7,74230365749492;9,27477453598635;5,76017478921935;6,59998170702108;10,0662658642497;10,7586168685407;6,6486828545675;11,7991918154264;8,62963877883845;9,14024370102911;8,94915675320648;8,24490102759133;9,59108870311655;7,38526969560129
"ACOT13";9,64268471211675;10,6892462757349;10,5117296208454;10,6522978770482;10,9940151373673;10,6530650619484;10,5656112204281;10,6770149677156;10,8860234518092;10,0722607298663;9,98741658690078;11,7239193385001;10,4818164259631;9,72198755921139;10,329366203444;9,84715489446936;8,3645724800251;12,3668847264175;10,7905364787748;10,3187468290272;10,2838279854906;10,4186508372053;11,1069650382661;9,4913950581769
