EXO1	FOXM1
EXO1	HJURP
EXO1	KIF11
EXO1	KIF14
EXO1	KIF18B
EXO1	KIF4A
EXO1	MELK
EXO1	MKI67
EXO1	PBK
EXO1	PKMYT1
EXO1	PLK1
EXO1	RACGAP1
EXO1	RRM2
EXO1	SHCBP1
EXO1	TOP2A
EXO1	TYMS
EXO1	UHRF1
EXO1	ZWINT
F13A1	FOLR2
FAM10A4	ST13
FAM72B	FAM72D
FCER1G	FCGR2A
FCER1G	GNA15
FCER1G	GPSM3
FCER1G	HCK
FCER1G	HCLS1
FCER1G	ITGB2
FCER1G	LAIR1
FCER1G	LST1
FCER1G	LY86
FCER1G	MS4A4A
FCER1G	MS4A6A
FCER1G	MYO1F
FCER1G	NCF4
FCER1G	NCKAP1L
FCER1G	NFAM1
FCER1G	PARVG
FCER1G	PLCB2
FCER1G	RASGRP4
FCER1G	RNASE6
FCER1G	SAMSN1
FCER1G	SASH3
FCER1G	SELPLG
FCER1G	SLA
FCER1G	SLC15A3
FCER1G	SPI1
FCER1G	TBXAS1
FCER1G	TNFAIP8L2
FCER1G	TYROBP
FCER1G	WAS
FCGR1A	FCGR1B
FCGR1A	FCGR1C
FCGR1B	FCGR1C
FCGR2A	GNA15
FCGR2A	GPSM3
FCGR2A	HCK
FCGR2A	HCLS1
FCGR2A	IL10RA
FCGR2A	ITGAM
FCGR2A	ITGB2
FCGR2A	LAIR1
FCGR2A	LILRB4
FCGR2A	LY86
FCGR2A	MS4A6A
FCGR2A	MYO1F
FCGR2A	NCKAP1L
FCGR2A	NFAM1
FCGR2A	PARVG
FCGR2A	RNASE6
FCGR2A	SAMSN1
FCGR2A	SASH3
FCGR2A	SELPLG
FCGR2A	SLA
FCGR2A	SLCO2B1
FCGR2A	SPI1
FCGR2A	TBXAS1
FCGR2A	TYROBP
FCGR2A	WAS
FDPS	MVD
FES	GMFG
FGD2	GPSM3
FGD2	HCLS1
FGD2	IL10RA
FGD2	LAIR1
FGD2	LCP2
FGD2	MS4A6A
FGD2	PARVG
FGD2	SPI1
FGD2	TBXAS1
FLJ16779	NKAIN4
FOXM1	KIF18B
FOXM1	KIF4A
FOXM1	PBK
FOXM1	RACGAP1
FOXM1	TOP2A
FOXO3B	FOXO3
FTH1	FTHL3
FYB	IKZF1
FYB	ITGB2
FYB	LAIR1
FYB	LCP2
FYB	NCKAP1L
FYB	PTPRC
FYB	SASH3
FYB	SELPLG
GGTA1	IL16
GGTA1	TMC8
GIMAP1	GIMAP4
GIMAP1	GIMAP5
GIMAP4	GIMAP5
GIMAP4	GIMAP8
GIMAP4	GMFG
GIMAP5	GIMAP8
GIMAP5	GMFG
GIMAP6	GIMAP8
GIMAP7	GIMAP8
GNA15	GPSM3
GNA15	HCK
GNA15	LAIR1
GNA15	MS4A6A
GNA15	SPI1
GNAO1	LOC283856
GPR65	IKZF1
GPR65	SASH3
GPSM3	HCK
GPSM3	HCLS1
GPSM3	HCST
GPSM3	IKZF1
GPSM3	IL10RA
GPSM3	ITGAM
GPSM3	ITGB2
GPSM3	LAIR1
GPSM3	LAT2
GPSM3	LCP2
GPSM3	LGALS9
GPSM3	LILRB2
GPSM3	LOC606724
GPSM3	LST1
GPSM3	LY86
GPSM3	MS4A6A
GPSM3	MYO1F
GPSM3	NCF4
GPSM3	NCKAP1L
GPSM3	NFAM1
GPSM3	PARVG
GPSM3	PLCB2
GPSM3	PLEK
GPSM3	RASGRP4
GPSM3	RNASE6
GPSM3	SASH3
GPSM3	SELPLG
GPSM3	SLA
GPSM3	SPI1
GPSM3	TBXAS1
GPSM3	TMC8
GPSM3	TNFAIP8L2
GPSM3	TYROBP
GPSM3	WAS
GSTA1	GSTA2
GTF2IRD2P1	GTF2IRD2
GTSE1	HJURP
GTSE1	KIF4A
GTSE1	KIFC1
GTSE1	MKI67
GTSE1	TOP2A
GZMA	GZMH
